Kenteken,Brandstof omschrijving,Datum eerste afgifte Nederland,cumhelp,Cumulative
G503NV,Alcohol,2020-01-03,1,1
VDX37R,Alcohol,2020-01-06,1,2
VDZ05F,Alcohol,2020-01-07,1,3
VDD10S,Alcohol,2020-01-09,1,4
G452PL,Alcohol,2020-01-10,1,5
ZJ141R,Alcohol,2020-01-10,1,6
H676FK,Alcohol,2020-01-14,1,7
H797FK,Alcohol,2020-01-17,1,8
H319FP,Alcohol,2020-01-17,1,9
G572XX,Alcohol,2020-01-18,1,10
G481RV,Alcohol,2020-01-18,1,11
G122RP,Alcohol,2020-01-23,1,12
H367GR,Alcohol,2020-01-23,1,13
G393RH,Alcohol,2020-01-24,1,14
H038FH,Alcohol,2020-01-25,1,15
G081FH,Alcohol,2020-01-27,1,16
XZ186D,Alcohol,2020-01-28,1,17
G375HJ,Alcohol,2020-01-31,1,18
G928JN,Alcohol,2020-01-31,1,19
H311GN,Alcohol,2020-02-03,1,20
H486HK,Alcohol,2020-02-03,1,21
ZS745K,Alcohol,2020-02-05,1,22
H610FN,Alcohol,2020-02-06,1,23
H758HD,Alcohol,2020-02-06,1,24
H115GN,Alcohol,2020-02-06,1,25
G907FX,Alcohol,2020-02-06,1,26
H220HX,Alcohol,2020-02-07,1,27
ZH560Z,Alcohol,2020-02-08,1,28
ZF126X,Alcohol,2020-02-10,1,29
TD797J,Alcohol,2020-02-12,1,30
H041HT,Alcohol,2020-02-14,1,31
G140VS,Alcohol,2020-02-14,1,32
H490JR,Alcohol,2020-02-19,1,33
H661KJ,Alcohol,2020-02-20,1,34
ZT326J,Alcohol,2020-02-21,1,35
H917KF,Alcohol,2020-02-22,1,36
H218JN,Alcohol,2020-02-28,1,37
H999LG,Alcohol,2020-03-04,1,38
ZB916P,Alcohol,2020-03-06,1,39
H997LG,Alcohol,2020-03-07,1,40
H642HS,Alcohol,2020-03-11,1,41
H932LT,Alcohol,2020-03-11,1,42
H093LT,Alcohol,2020-03-11,1,43
H204LN,Alcohol,2020-03-12,1,44
H866LR,Alcohol,2020-03-13,1,45
VDK58P,Alcohol,2020-03-13,1,46
H173NN,Alcohol,2020-03-14,1,47
ZP106K,Alcohol,2020-03-16,1,48
H421PG,Alcohol,2020-03-18,1,49
H218FL,Alcohol,2020-03-18,1,50
H243NN,Alcohol,2020-03-19,1,51
G699SR,Alcohol,2020-03-21,1,52
VFJ89H,Alcohol,2020-03-21,1,53
G455NB,Alcohol,2020-03-24,1,54
H737PJ,Alcohol,2020-03-27,1,55
H567LD,Alcohol,2020-03-28,1,56
G144KB,Alcohol,2020-03-28,1,57
H946NL,Alcohol,2020-03-28,1,58
ZF135F,Alcohol,2020-04-01,1,59
H817JX,Alcohol,2020-04-02,1,60
H127RJ,Alcohol,2020-04-09,1,61
H248KT,Alcohol,2020-04-11,1,62
H190HK,Alcohol,2020-04-11,1,63
H737NT,Alcohol,2020-04-11,1,64
G681PL,Alcohol,2020-04-15,1,65
H559RR,Alcohol,2020-04-17,1,66
H545JS,Alcohol,2020-04-17,1,67
H419RT,Alcohol,2020-04-20,1,68
G744VK,Alcohol,2020-04-24,1,69
H060SJ,Alcohol,2020-04-30,1,70
H458LN,Alcohol,2020-05-01,1,71
H917SH,Alcohol,2020-05-01,1,72
H415RT,Alcohol,2020-05-02,1,73
H068KD,Alcohol,2020-05-02,1,74
H450DJ,Alcohol,2020-05-04,1,75
H662SP,Alcohol,2020-05-07,1,76
H783LB,Alcohol,2020-05-08,1,77
H686SZ,Alcohol,2020-05-12,1,78
ZV940F,Alcohol,2020-05-14,1,79
H965JG,Alcohol,2020-05-15,1,80
H908LJ,Alcohol,2020-05-15,1,81
H159JT,Alcohol,2020-05-16,1,82
H625GZ,Alcohol,2020-05-22,1,83
H393TS,Alcohol,2020-05-22,1,84
H140TS,Alcohol,2020-05-23,1,85
H847TH,Alcohol,2020-05-23,1,86
H573VB,Alcohol,2020-05-26,1,87
H385HP,Alcohol,2020-05-28,1,88
H803VJ,Alcohol,2020-06-02,1,89
H312DB,Alcohol,2020-06-02,1,90
H466LS,Alcohol,2020-06-03,1,91
H677TB,Alcohol,2020-06-05,1,92
H775GN,Alcohol,2020-06-05,1,93
H509SR,Alcohol,2020-06-05,1,94
G362FT,Alcohol,2020-06-05,1,95
H082NF,Alcohol,2020-06-06,1,96
H352VD,Alcohol,2020-06-06,1,97
H711ST,Alcohol,2020-06-09,1,98
H018VL,Alcohol,2020-06-10,1,99
H364VV,Alcohol,2020-06-11,1,100
H295GK,Alcohol,2020-06-12,1,101
H277GD,Alcohol,2020-06-12,1,102
H463XD,Alcohol,2020-06-13,1,103
H377HP,Alcohol,2020-06-13,1,104
H985FL,Alcohol,2020-06-13,1,105
H764VK,Alcohol,2020-06-15,1,106
H595RP,Alcohol,2020-06-17,1,107
H489TT,Alcohol,2020-06-20,1,108
G079RP,Alcohol,2020-06-20,1,109
H257ZJ,Alcohol,2020-06-20,1,110
G849NV,Alcohol,2020-06-22,1,111
H661ZL,Alcohol,2020-06-22,1,112
H798LR,Alcohol,2020-06-29,1,113
J409BT,Alcohol,2020-06-29,1,114
J570DJ,Alcohol,2020-07-01,1,115
G301LP,Alcohol,2020-07-01,1,116
H832ZN,Alcohol,2020-07-02,1,117
H557KG,Alcohol,2020-07-03,1,118
J081DB,Alcohol,2020-07-04,1,119
J984BJ,Alcohol,2020-07-07,1,120
J856DX,Alcohol,2020-07-08,1,121
J035DB,Alcohol,2020-07-09,1,122
J886BJ,Alcohol,2020-07-10,1,123
J271FH,Alcohol,2020-07-10,1,124
H646LR,Alcohol,2020-07-10,1,125
H477TK,Alcohol,2020-07-11,1,126
G718JN,Alcohol,2020-07-13,1,127
H450NT,Alcohol,2020-07-14,1,128
H353VD,Alcohol,2020-07-14,1,129
H280GS,Alcohol,2020-07-16,1,130
VGG34V,Alcohol,2020-07-17,1,131
H503GZ,Alcohol,2020-07-18,1,132
H448XT,Alcohol,2020-07-18,1,133
H564VB,Alcohol,2020-07-18,1,134
H283HK,Alcohol,2020-07-20,1,135
J600GJ,Alcohol,2020-07-22,1,136
J809GK,Alcohol,2020-07-24,1,137
J915DT,Alcohol,2020-07-29,1,138
ZR570Z,Alcohol,2020-07-29,1,139
G065JF,Alcohol,2020-08-03,1,140
ZR378S,Alcohol,2020-08-11,1,141
VGK58F,Alcohol,2020-08-12,1,142
J283GD,Alcohol,2020-08-12,1,143
H818XJ,Alcohol,2020-08-14,1,144
J194JJ,Alcohol,2020-08-15,1,145
J656GF,Alcohol,2020-08-19,1,146
J110FD,Alcohol,2020-08-21,1,147
G787PL,Alcohol,2020-08-21,1,148
H703JJ,Alcohol,2020-08-21,1,149
J476JG,Alcohol,2020-08-22,1,150
J811KG,Alcohol,2020-08-25,1,151
J562JT,Alcohol,2020-08-26,1,152
J599KN,Alcohol,2020-08-28,1,153
J521KD,Alcohol,2020-08-29,1,154
J272JZ,Alcohol,2020-08-29,1,155
J790GL,Alcohol,2020-09-01,1,156
J057LL,Alcohol,2020-09-02,1,157
J698KP,Alcohol,2020-09-02,1,158
J933KP,Alcohol,2020-09-04,1,159
J448JL,Alcohol,2020-09-05,1,160
J581LJ,Alcohol,2020-09-07,1,161
TP589B,Alcohol,2020-09-07,1,162
J492KD,Alcohol,2020-09-08,1,163
J704NB,Alcohol,2020-09-08,1,164
J231JD,Alcohol,2020-09-08,1,165
J496KG,Alcohol,2020-09-11,1,166
J478JG,Alcohol,2020-09-12,1,167
J276KX,Alcohol,2020-09-15,1,168
G145LD,Alcohol,2020-09-16,1,169
J292NK,Alcohol,2020-09-16,1,170
J421KD,Alcohol,2020-09-18,1,171
J454LB,Alcohol,2020-09-19,1,172
J277NZ,Alcohol,2020-09-20,1,173
J838PB,Alcohol,2020-09-24,1,174
J116NK,Alcohol,2020-09-25,1,175
J044RD,Alcohol,2020-09-26,1,176
J045RR,Alcohol,2020-09-29,1,177
J799NZ,Alcohol,2020-09-29,1,178
H816VP,Alcohol,2020-09-30,1,179
VGZ42K,Alcohol,2020-10-02,1,180
H036JH,Alcohol,2020-10-02,1,181
J935NR,Alcohol,2020-10-02,1,182
H860ZT,Alcohol,2020-10-03,1,183
ZB282L,Alcohol,2020-10-03,1,184
J886HR,Alcohol,2020-10-05,1,185
H185LN,Alcohol,2020-10-09,1,186
J473NZ,Alcohol,2020-10-09,1,187
J409SF,Alcohol,2020-10-09,1,188
J728RT,Alcohol,2020-10-15,1,189
J261DK,Alcohol,2020-10-15,1,190
J526GZ,Alcohol,2020-10-16,1,191
J569TR,Alcohol,2020-10-20,1,192
J478NK,Alcohol,2020-10-21,1,193
J172TP,Alcohol,2020-10-21,1,194
J501JZ,Alcohol,2020-10-22,1,195
G265LX,Alcohol,2020-10-23,1,196
J875TX,Alcohol,2020-10-23,1,197
J854HK,Alcohol,2020-10-24,1,198
J653TS,Alcohol,2020-10-24,1,199
ZR805V,Alcohol,2020-10-24,1,200
J688VP,Alcohol,2020-10-27,1,201
J426XB,Alcohol,2020-10-27,1,202
G857FX,Alcohol,2020-10-27,1,203
J326LJ,Alcohol,2020-10-28,1,204
J988XD,Alcohol,2020-10-29,1,205
J401XS,Alcohol,2020-10-30,1,206
J049XZ,Alcohol,2020-11-02,1,207
J739XG,Alcohol,2020-11-03,1,208
H926FG,Alcohol,2020-11-07,1,209
J541ZS,Alcohol,2020-11-09,1,210
J407ZN,Alcohol,2020-11-11,1,211
H380FS,Alcohol,2020-11-12,1,212
J917FB,Alcohol,2020-11-12,1,213
K355BJ,Alcohol,2020-11-13,1,214
J973SV,Alcohol,2020-11-14,1,215
J575ZP,Alcohol,2020-11-14,1,216
K397BN,Alcohol,2020-11-16,1,217
K385BG,Alcohol,2020-11-16,1,218
VGZ36K,Alcohol,2020-11-18,1,219
K218BD,Alcohol,2020-11-18,1,220
K514BF,Alcohol,2020-11-19,1,221
K693BJ,Alcohol,2020-11-20,1,222
J855VL,Alcohol,2020-11-20,1,223
J310NJ,Alcohol,2020-11-20,1,224
K687BJ,Alcohol,2020-11-21,1,225
J286TJ,Alcohol,2020-11-21,1,226
J576ZP,Alcohol,2020-11-23,1,227
K926DT,Alcohol,2020-11-25,1,228
J528GZ,Alcohol,2020-11-26,1,229
ZB220P,Alcohol,2020-11-27,1,230
K291FH,Alcohol,2020-11-27,1,231
J877ZG,Alcohol,2020-11-28,1,232
J618TB,Alcohol,2020-11-28,1,233
J494XD,Alcohol,2020-11-28,1,234
K153FP,Alcohol,2020-12-02,1,235
K802BX,Alcohol,2020-12-03,1,236
K317FS,Alcohol,2020-12-03,1,237
K387BK,Alcohol,2020-12-03,1,238
J581ZL,Alcohol,2020-12-04,1,239
K651GB,Alcohol,2020-12-04,1,240
K113DR,Alcohol,2020-12-05,1,241
VHR95L,Alcohol,2020-12-07,1,242
H658GG,Alcohol,2020-12-08,1,243
K357BD,Alcohol,2020-12-09,1,244
K721FT,Alcohol,2020-12-09,1,245
J987TK,Alcohol,2020-12-09,1,246
J611KG,Alcohol,2020-12-11,1,247
K719FX,Alcohol,2020-12-11,1,248
J621TR,Alcohol,2020-12-12,1,249
H159TK,Alcohol,2020-12-19,1,250
H554RL,Alcohol,2020-12-19,1,251
K703FT,Alcohol,2020-12-24,1,252
H667VV,Alcohol,2020-12-24,1,253
K410HJ,Alcohol,2020-12-28,1,254
H621RS,Alcohol,2020-12-29,1,255
K440BT,Alcohol,2020-12-30,1,256
K513DS,Alcohol,2020-12-30,1,257
